Flavor,Category,Typeface,Size
capitalism,,,
money,,,
addiction,,,
alcohol,,,
friends,,,
making art,,,
looking at art,,,
understanding,,,
the usa,,,
Putin,,,
gluten,,,
dairy,,,
overeating,,,
asbestos,,,
alligators,,,
string theory,,,
physics,,,
bathrooms,,,
myself,,,
others,,,
rocks,,,
logistics,,,
tools,,,
computers,,,
the internet,,,
strange noises,,,
rodeos,,,
vehicle problems,,,
waking up,,,
the next ice age,,,
waiting,,,
running,,,
the government,,,
the past,,,
the future,,,
the ocean,,,
the swamp,,,
Metairie,,,
Entergy,,,
Christmas,,,
holidays,,,
bosses,,,
co-workers,,,
employees,,,
company owners,,,
cats,,,
dogs,,,
bees,,,
peanuts,,,
allergies,,,
paychecks,,,
taxes,,,
being late,,,
being home,,,
travelling,,,
waiting,,,
listening,,,
paying attention,,,
being sick,,,
ants,,,
body pain,,,
injuries,,,
heartache,,,
AI,,,
check engine light,,,
the heat,,,
low gas,,,
Covid,,,
19% Battery,,,
sexists,,,
racists,,,
sexism,,,
racism,,,
the winter,,,
transmissions,,,
school,,,
empty pens,,,
homework,,,
lost lighters,,,
spelling,,,
small talk,,,
overeating,,,
learning a language,,,
tomorrow,,,
yesterday,,,
last year,,,
next year,,,
time,,,
clocks,,,
movies,,,
netflix,,,
autonomous vehicles,,,
DMV,,,
driving,,,
God ,,,
gods,,,
religion,,,
mom ,,,
dad,,,
husband,,,
wife,,,
sister,,,
brother,,,
aunt ,,,
uncle,,,
terror,,,
politics,,,
presidents,,,
power,,,
hurricanes,,,
writing,,,
authority,,,
